"Desolate Motion",Karawan,NA
"Self-Destruct",Aching Head,2013
"Walk This Way",Aerosmith,1975
"No More Mr. Nice Guy",Alice Cooper,1973
"Stone",Alice in Chains,2013
"R U Mine?",Arctic Monkeys,2012
"Bat Country",Avenged Sevenfold,2005
"Ultra Soul",B'z,2001
"Snarling of Beasts",Bedowyn,2013
"Knockin' on Heaven's Door",Bob Dylan,1973
"Peace of Mind",Boston,1977
"Machinehead",Bush,1994
"Don't Stop",Crimson,2011
"Stuck on a Wire Out on a Fence (Orange)",The Dear Hunter,2011
"Pour Some Sugar on Me",Def Leppard,1987
"My Own Summer (Shove It)",Deftones,1997
"Sea to Swallow",Disonaur,2013
"Wasteland",EarlyRise,2011
"Chompers",Fang Island,2012
"Everlong",Foo Fighters,1997
"Brand New Kind of Blue",Gold Motel,2012
"X-Kid",Green Day,2013
"Eight-Ball, Coroner's Pocket",Hail the Sun,2013
"The Trooper",Iron Maiden,1983
"Sixteen Saltines",Jack White,2012
"Stay In",JAWS,2012
"Satch Boogie",Joe Satriani,1987
"You Really Got Me",The Kinks,1964
"Rock and Roll All Nite",Kiss,1975
"Love That's Gone",La Sera,2012
"Black Magic",Magic Wands,2012
"Blood and Thunder",Mastodon,2004
"On Top of the World","Matt Montgomery, Brian McCune, Brendan West",2013
"Cold Company",Minus the Bear,2012
"Sweet Mountain River",Monster Truck,2013
"Knights of Cydonia",Muse,2006
"Heart-Shaped Box",Nirvana,1993
"Don't Look Back in Anger",Oasis,1996
"Cemetery Gates",Pantera,1990
"Now",Paramore,2013
"Sore Tummy",PAWS,2012
"Self Trap",Playground Kings,2007
"Every Breath You Take",The Police,1983
"We Are the Champions",Queen,1977
"Losing My Religion",R.E.M.,1991
"Paranoid Android",Radiohead,1997
"Blitzkrieg Bop",Ramones,1976
"Round and Round",Ratt,1984
"Wires",Red Fang,2011
"Savior",Rise Against,2009
"Paint It Black",The Rolling Stones,1966
"The Spirit of Radio",Rush,1980
"Monochromic",Sabaka,2013
"Rotten Apple",Screaming Females,2012
"For a Fool",The Shins,2012
"War Ensemble",Slayer,1990
"The Chimera",The Smashing Pumpkins,2012
"All I Wanna Do",Splashh,2013
"Hypnotize",System of a Down,2005
"Go Further",Tak Matsumoto,1999
"Mary Jane's Last Dance",Tom Petty and the Heartbreakers,1993
"Impossible Dreams",Versus Them,2012
"Say It Ain't So",Weezer,1994
"Thunder Kiss '65",White Zombie,1992
"My Generation",The Who,1965
